Наименование;Бренд;Линейка;Категория;Количество;Сумма;Общая Стоимость
ЛАК ДЛЯ ВОЛОССЯ VOLUME LIFT 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;820;19245;1.57809e+07
5.ШАМПУНЬ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;893;18485;1.65071e+07
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;1483;18211;2.70069e+07
10.ШАМПУНЬ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;876;18133;1.58845e+07
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;885;17664;1.56326e+07
940 БЕЖЕВИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;461;16992;7.83331e+06
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;1127;16364;1.84422e+07
400 ТЕМНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;473;16271;7.69618e+06
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ _ БАМБУК 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;1479;16269;2.40619e+07
7.KERATIN (4) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Пена;Стайлинг;1069;16013;1.71179e+07
4.POWER ЛАК Д/ВОЛОССЯ З КЕРАТИНОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;1054;15788;1.66406e+07
ЛАК ДЛЯ ВОЛОССЯ HOLD&FLEX 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;671;15748;1.05669e+07
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;710;15719;1.11605e+07
"1.""Р_ДКИЙ ШОВК"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;1025;14883;1.52551e+07
1000 НАТУРАЛЬНИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;395;14559;5.75081e+06
3.ЗЕЛ.СЕР_Я ЛАК ЗСФ Д/ТОНКОГО ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;969;14515;1.4065e+07
4.POWER ЛАК Д/ВОЛОССЯ З КОФЕЇНОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;964;14440;1.39202e+07
300 ЧОРНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;413;14207;5.86749e+06
9.ШАМПУНЬ ЧОЛОВ_ЧИЙ Д/НОРМ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;680;14076;9.57168e+06
465 ШОКОЛАДНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;406;13966;5.6702e+06
N2 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;988;13832;1.3666e+07
