Наименование;Бренд;Линейка;Категория;Количество;Сумма;Общая Стоимость
C1 СИНЬО-ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;762;10828;8.25094e+06
G3 ЗОЛОТИСТИЙ ТРЮФЕЛЬ 3305909000,;PALETTE;PALETTE;Краска;761;10813;8.22869e+06
800 РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;293;10799;3.16411e+06
"3.ЗЕЛ.СЕР_Я ЛАК ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 225МЛ 3305300000,";TAFT;Лак;Стайлинг;720;10785;7.7652e+06
KI6 М_ДНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;764;10696;8.17174e+06
665 ЗОЛОТИСТИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;290;10689;3.09981e+06
VN3 СЛИВА 3305909000,;PALETTE;PALETTE;Краска;758;10612;8.0439e+06
"1.""Р_ДКИЙ ШОВК"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;717;10561;7.57224e+06
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;477;10560;5.03712e+06
700 ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;286;10541;3.01473e+06
13.БАЛЬЗАМ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;509;10536;5.36282e+06
C10 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;737;10472;7.71786e+06
ЛАК ДЛЯ ВОЛОССЯ MAX HOLD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;446;10467;4.66828e+06
883 ЕЛЕГАНТНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;361;10198;3.68148e+06
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;715;10160;7.2644e+06
550 ЗОЛОТИСТИЙ КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;275;10136;2.7874e+06
N2 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;706;10032;7.08259e+06
800 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;705;10018;7.06269e+06
"11.БАЛЬЗАМ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305909000,";SYOSS;Бальзам;Уход за волосами;483;9998;4.82903e+06
N1 ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;713;9982;7.11717e+06
"9.""ЕКСТРЕМ.ОБ`ЄМ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;682;9902;6.75316e+06
1-18 Г_РКИЙ ШОКОЛАД М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;311;9784;3.04282e+06
300 СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;675;9591;6.47393e+06
818 П_ВН_ЧН_ ПЕРЛИ 3305909000,;BRILLANCE;BRILLANCE;Краска;339;9576;3.24626e+06
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;863;9493;8.19246e+06
4-0 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;481;9480;4.55988e+06
WN3 ЗОЛОТИСТА КАВА 3305909000,;PALETTE;PALETTE;Краска;677;9478;6.41661e+06
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;643;9471;6.08985e+06
750 ЗОЛОТИСТИЙ ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;254;9362;2.37795e+06
N5 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;665;9310;6.19115e+06
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;408;9253;3.77522e+06
10-2 ПОПЕЛЯСТИЙ БЛОНД 3305909000,;PALETTE; SALON COLORS;Краска;469;9243;4.33497e+06
ШАМПУНЬ 380МЛ Q10 3305100000,;SCHAUMA;Шампунь;Уход за волосами;770;9232;7.10864e+06
W2 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE;PALETTE;Краска;644;9151;5.89324e+06
N3 КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;650;9100;5.915e+06
W2 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE;PALETTE;Краска;648;9072;5.87866e+06
G4 КАКАО 3305909000,;PALETTE;PALETTE;Краска;645;9030;5.82435e+06
3-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;333;9010;3.00033e+06
390 СВ_ТЛА М_ДЬ 3305909000,;PALETTE;Фитолиния;Краска;632;8980;5.67536e+06
