Наименование;Бренд;Линейка;Категория;Количество;Сумма
"3.ЗЕЛ.СЕР_Я П_НА ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 150МЛ 3305909000,";TAFT;Пена;Стайлинг;6;70,74
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000";GLISS KUR;Шампунь;Уход за волосами;617;8958,84
"1.СИН.СЕР_Я ULTRA ЛАК ""ШОВКОВИЙ ДОТИК"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;-1;-13,52
1.СИН.СЕР_Я ULTRA PURE П_НА Б/СИЛ_КОНУ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;27;397,98
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;1079;12937,21
ШАМПУНЬ 380МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;38;466,64
ШАМПУНЬ 225МЛ К_В_ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;27;215,73
ГЕЛЬ Д/ДУШУ XTREME SPORTS 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;68;896,92
БАДЬОРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;14;34,16
RF3 ЧЕРВОНИЙ ГРАНАТ 3305909000,;PALETTE;PALETTE;Краска;625;8881,25
NUTRI SKIN _НТЕНСИВНИЙ ДОГЛЯД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;312;3372,72
C12 АРКТИЧНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;20;284,2
C10 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;409;5726
9.ШАМПУНЬ ЧОЛОВ_ЧИЙ Д/ЖИРНОГО ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;11;228,91
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;171;2014,38
"9.""ЕКСТРЕМ.ОБ`ЄМ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;6;70,68
850 БАРХАТНИЙ КАШТАН 3305909000,;PALETTE; DELUXE;Краска;3;73,32
757 ВИШНЕВИЙ КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;-1;-13,66
5.МАСКА NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 200МЛ 3305909000,;SYOSS;Маска;Уход за волосами;-7;-168,98
4.POWER ГЕЛЬ Д/УКЛАДКИ N-TOUCH 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;53;875,56
"2.ЧЕРВ.СЕР_Я ГЕЛЬ-В_СК ""СЯЯННЯ Д_АМАНТ_В"" 75МЛ 3305909000,";TAFT;Гель-воск;Стайлинг;120;2419,2
"12.БАЛЬЗАМ SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 500МЛ 3305909";SYOSS;Бальзам;Уход за волосами;239;4973,59
10.СПРЕЙ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 250МЛ 3305909000,;SYOSS;Спрей;Уход за волосами;92;2676,28
ХОРОБРИЙ П_РАТ 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;315;3918,6
СПОРТ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;38;462,08
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ _ БАМБУК 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;412;4453,72
ЙОГУРТ АЛОЕ ВЕРА 90Г 3401110000,;FA;FA-мыло;Мыло;239;733,73
WN3 ЗОЛОТИСТА КАВА 3305909000,;PALETTE;PALETTE;Краска;627;8909,67
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;68;875,16
N3 КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;20;280
9-7 СВ_ТЛИЙ М_ДНИЙ 3305909000,;PALETTE; SALON COLORS;Краска;11;216,81
900 ЧОРНИЙ 3305909000,;PALETTE; DELUXE;Краска;3;72,93
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;53;769,56
575 ЧЕРВОНИЙ РУБ_Н 3305909000,;PALETTE;Фитолиния;Краска;-1;-13,66
568 КАРАМЕЛЬНИЙ КАШТАН 3305909000,;PALETTE;Фитолиния;Краска;120;1364,4
5-29 _НТЕНСИВНИЙ ЧЕРВОНИЙ 3305909000,;SYOSS;SYOSS;Краска;-7;-186,41
4152 ФОРМУЛА МОЛОДОСТ_ Н_ЧНИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;15;828,75
254 БЕЖЕВИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;6;68,22
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;171;1944,27
2-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;92;2436,16
13.ШАМПУНЬ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;1080;22356
13.МАСКА OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 250МЛ 3305909000,;SYOSS;Маска;Уход за волосами;28;847
ШАМПУНЬ 225МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;53;423,47
ЧАР_ВН_ МОМЕНТИ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;171;1751,04
SPORT DOUBLE POWER COOL FRESH 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;6;64,86
NUTRI SKIN _НТЕНСИВНИЙ ДОГЛЯД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;631;6941
N2 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;11;156,31
KI6 М_ДНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;68;773,16
C10 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;20;280
8.ШАМПУНЬ SMOOTH RELAX Д/НЕСЛУХН.,КУЧЕР.ВОЛ. 500МЛ 330510000;SYOSS;Шампунь;Уход за волосами;3;54,45
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;1127;16364,04
7.KERATIN (3) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;121;1812,58
6908 МАТУВАННЯ ТА ЗВОЛОЖЕННЯ ДЕННИЙ ДОГЛЯД 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;92;2340,48
6-8 ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;28;745,64
6.ХАЙД_ СПРЕЙ ТЕРМОЗАХИСН.Д/ГАРЯЧОЇ УКЛАДКИ 250МЛ 3305909000;TAFT;Спрей для укладки;Стайлинг;240;6050,4
6.ХАЙД_ П_НА Д/ГАРЯЧОЇ УКЛАДКИ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;-1;-13,84
4-86 ПРАЛ_НЕ М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;-7;-196,07
400 ТЕМНИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;15;555,9
300 ЧОРНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;413;14207,2
10-0 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;39;1055,34
"1.""Р_ДКИЙ ШОВК"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;317;3734,26
ШОВК _ МАГНОЛ_Я 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;1153;12683
ЙОГУРТ ВАН_ЛЬНИЙ МЕД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;92;989
ДЕЗ.АЕРОЗОЛЬ XTREME POLAR 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;6;64,02
Д.КАСПАР_ РОЗГЛАДЖ.ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;122;6703,9
"ГЕЛЬ+ЛОСЬЙОН ""АВОКАДО"" 250МЛ 3401300000,";FA;FA-гель для душа;Гель для душа;68;748
"ГЕЛЬ ДЛЯ ВМИВАННЯ LIFT+ ""ЗВУЖ.ПОР"" 150МЛ 3304990000,";DIADEMINE;АНТИВ_КОВЕ ОЧИЩЕННЯ;Уход за кожей;54;1637,28
SPORT DOUBLE POWER MEN POWER BOOST 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;241;2651
NUTRI SKIN ЯГОДА АКАЇ 90Г 3401110000,;FA;FA-мыло;Мыло;631;1930,86
NUTRI SKIN INVISIBLE CONTROL 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;20;257,4
N7 РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;413;5782
886 ЧЕРВОНА Н_Ч 3305909000,;BRILLANCE;BRILLANCE;Краска;172;4859
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;28;576,8
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" OIL ЕЛ_КСИР 75МЛ 3305909000,";GLISS KUR;Эликсир;Уход за волосами;318;8697,3
607 БРОНЗОВИЙ СВ_ТЛО-КАШТАНОВИЙ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;-7;-221,76
4-6 ЗОЛОТИСТИЙ МОКАЧИНО 3305909000,;PALETTE; COLOR&GLOSS;Краска;-1;-13,98
300 ЧОРНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;15;518,85
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;PRONATURE;Краска;39;1032,72
"11.БАЛЬЗАМ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305909000,";SYOSS;Бальзам;Уход за волосами;3;49,68
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;11;156,31
ШАМПУНЬ 380МЛ ЛЕМОНГРАС Д/ЧОЛОВ_К_В 3305100000,;SCHAUMA;Шампунь;Уход за волосами;28;343,84
ШАМПУНЬ 380МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;417;4999,83
ШАМПУНЬ 380МЛ В_Д ЛУПИ INTENSIVE 3305100000,;SCHAUMA;Шампунь;Уход за волосами;319;3917,32
ФРИСТАЙЛ 3D 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;6;61,44
Д.КАСПАР_ РОЗГЛАДЖ.ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;-7;-371,84
RF5 РУБ_Н 3305909000,;PALETTE;PALETTE;Краска;-1;-14
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;20;246,6
N9 СВ_ТЛИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;11;154
9-5 ПЕРЛИННИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;69;1827,12
7-6 РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;172;4654,32
750 ЗОЛОТИСТИЙ ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;93;3446,58
6-8 ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;122;3301,32
4-8 КАШТАНОВИЙ ШОКОЛАДНИЙ 3305909000,;SYOSS;SYOSS;Краска;39;1032,72
390 СВ_ТЛА М_ДЬ 3305909000,;PALETTE;Фитолиния;Краска;632;8980,72
"3.ЗЕЛ.СЕР_Я П_НА ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 150МЛ 3305909000,";TAFT;Пена;Стайлинг;54;795,96
218 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE; DELUXE;Краска;15;364,65
"2.ЧЕРВ.СЕР_Я ЛАК ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;3;43,62
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;243;6575,58
"11.ШАМПУНЬ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305100000,";SYOSS;Шампунь;Уход за волосами;1160;24012
ШАМПУНЬ 380МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;20;238,4
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ М`ЯТИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;6;58,92
ШАМПУНЬ 225МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;28;222,6
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;172;2213,64
МУС ДЛЯ УКЛАДКИ FIX&SMOOTH 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;15;312,15
ДИТЯЧИЙ ШАМПУНЬ Д/Д_ВЧАТОК 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;638;8198,3
Д.КАСПАР_ РОЗГЛАДЖ.Н_ЧНИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;123;6758,85
БАЛЬЗАМ 200МЛ З ОЛ_ЄЮ АРГАНА 3305909000,;SCHAUMA;Бальзам;Уход за волосами;420;3339
H8 МЕДОВИЙ БЛОНД 3305909000,;PALETTE;PALETTE;Краска;11;154
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;39;945,75
7-5 СОЛОДКИЙ ГОР_Х 3305909000,;PALETTE; COLOR&GLOSS;Краска;-6;-38,4
700 ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;93;3446,58
7.KERATIN (3) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;54;789,48
6.ШАМПУНЬ ANTI-DANDRUFF CONTROL ПРОТИ ЛУПИ 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;321;6680,01
465 ЗОЛОТИСТИЙ СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;-1;-14
"4.""NUTRITIVE"" ДОВГ.ВОЛ. БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;3;43,56
300 ЧОРНО-КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;69;1271,67
"11.БАЛЬЗАМ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305909000,";SYOSS;Бальзам;Уход за волосами;245;5098,45
1010 ПЕРЛИННИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;1287;47438,82
ШАМПУНЬ В_Д ЛУПИ Д/ЖИРНОГО ВОЛОССЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;-1;-14,65
ЙОГУРТ ВАН_ЛЬНИЙ МЕД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;321;3531
ЙОГУРТ АЛОЕ ВЕРА 90Г 3401110000,;FA;FA-мыло;Мыло;1291;3950,46
SPORT DOUBLE POWER SPORTY FRESH 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;421;4631
SENSUAL&OIL КВ_ТКА Т_АРЕ 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;39;853,71
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;-6;-73,98
N3 КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;3;42,63
E20 ОСВ_ТЛЮЮЧИЙ 3305909000,;PALETTE;PALETTE;Краска;11;154
C1 СИНЬО-ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;20;227,4
9.5-1 ПЛАТИНОВИЙ БЛОНД 3305909000,;PALETTE; SALON COLORS;Краска;29;571,59
"9.""ЕКСТРЕМ.ОБ`ЄМ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;69;812,82
880 ТЕМНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;246;6949,5
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;93;2267,34
7.KERATIN (4) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Пена;Стайлинг;6;58,86
5-85 ГОР_ХОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;173;5442,58
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;54;789,48
4.POWER ГЕЛЬ Д/УКЛАДКИ N-TOUCH 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;15;300,75
3.ЗЕЛ.СЕР_Я Р_ДИНА Д/УКЛАДКИ 150МЛ  3305909000,;TAFT;Жидкость для укладки;Стайлинг;123;2634,66
100 ЧОРНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;639;23553,54
ШАМПУНЬ В_Д ЛУПИ Д/ЧАСТОГО ВИКОРИСТАННЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;39;600,21
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;6;57,42
"ГЕЛЬ+ЛОСЬЙОН ""ГРАНАТ"" 250МЛ 3401300000,";FA;FA-гель для душа;Гель для душа;69;759
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;54;694,98
E20 ОСВ_ТЛЮЮЧИЙ 3305909000,;PALETTE;PALETTE;Краска;3;42,63
900 ЧОРНИЙ 3305909000,;PALETTE;Фитолиния;Краска;422;5996,62
900 ЧОРНИЙ 3305909000,;PALETTE;Фитолиния;Краска;11;154
8-0 СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;15;295,65
750 ЗОЛОТИСТИЙ КАШТАН 3305909000,;PALETTE;Фитолиния;Краска;175;2450
7.KERATIN (3) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;20;158,8
600 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;124;2285,32
5-60 СВ_ЖА ОЖИНА 3305909000,;PALETTE; COLOR&GLOSS;Краска;-6;-83,88
5-6 МОЛОЧНИЙ ШОКОЛАД 3305909000,;PALETTE; SALON COLORS;Краска;29;571,59
4.ШАМПУНЬ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;1330;27531
3.ЗЕЛ.СЕР_Я ЛАК 350МЛ ЗСФ Д/ТОНКОГО ВОЛОССЯ 3305300000,;TAFT;Лак;Стайлинг;639;12818,34
254 БЕЖЕВИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;322;4575,62
2.БАЛЬЗАМ REPAIR THERAPY Д/СУХ.,ПОШКОДЖ.ВОЛ. 500МЛ 330590900;SYOSS;Бальзам;Уход за волосами;-1;-16,54
"2.""ЗАХИСТ КОЛЬОРУ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;246;5446,44
10.БАЛЬЗАМ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;93;1925,1
ЧУДОВ_ МОМЕНТИ КРЕМ-ГЕЛЬ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;6;52,8
РУСАЛОНЬКА 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;54;537,84
ДЕЗ.АЕРОЗОЛЬ XTREME POLAR 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;323;4308,82
БАЛЬЗАМ 200МЛ PUSH-UP ОБ`ЄМ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;429;3410,55
NUTRI SKIN NATURAL FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;69;663,78
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;29;526,06
7.KERATIN (4) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Пена;Стайлинг;39;467,22
6458 ПРОТИ ЗМОРШОК В_ДНОВЛ.Н_Ч 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;21;683,97
4-89 ЧЕРВОНО-Ф_ОЛЕТОВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;15;295,65
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;176;2464
400 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;246;3444
400 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;11;153,23
"4.""NUTRITIVE"" ДОВГ.ВОЛ. МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;-6;-123,36
3-0 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE; SALON COLORS;Краска;642;12653,82
"3.ЗЕЛ.СЕР_Я ЛАК ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 225МЛ 3305300000,";TAFT;Лак;Стайлинг;124;1857,52
3.БАЛЬЗАМ COLOR GUARD Д/ФАРБ.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;-1;-17,36
254 БЕЖЕВИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;3;42,63
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;93;1295,49
"1.""Р_ДКИЙ ШОВК"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;1413;20813,49
ШАМПУНЬ 225МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;323;2580,77
ШАМПУНЬ 225МЛ БЛИСК КОЛЬОРУ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;93;739,35
ШАМПУНЬ 225МЛ Q10 3305100000,;SCHAUMA;Шампунь;Уход за волосами;6;47,94
ЧИСТОТА ТА СВ_Ж_СТЬ ЛАЙМ _ _МБИР 250МЛ 3401209000,;FA;FA-жидкое мыло;Жидкое мыло;54;503,82
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ _ БАМБУК 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;1479;16269
ЛАК ДЛЯ ВОЛОССЯ STRONG HOLD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;-6;-125,88
NUTRI SKIN ЯГОДА АКАЇ 90Г 3401110000,;FA;FA-мыло;Мыло;39;119,73
NUTRI SKIN _НТЕНСИВНИЙ ДОГЛЯД 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;-1;-17,57
A10 ПЕРЛИННИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;11;125,07
940 БЕЖЕВИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;125;4632,5
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;15;272,1
780 ЧЕРВОНЕ ВИНО 3305909000,;PALETTE;Фитолиния;Краска;3;42
5-92 НАСИЧЕНИЙ ЧЕРВОНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;21;607,53
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;29;406
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;643;9471,39
300 СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;246;2797,02
3.ЗЕЛ.СЕР_Я ЛАК 350МЛ ЗСФ Д/ТОНКОГО ВОЛОССЯ 3305300000,;TAFT;Лак;Стайлинг;178;3590,26
13.ШАМПУНЬ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;431;8969,11
1.СИН.СЕР_Я ULTRA ГЕЛЬ З ЕФЕКТ.МОКРОГО ВОЛ. 150МЛ 3305909000;TAFT;Гель для укладки;Стайлинг;70;1156,4
ШАМПУНЬ В_Д ЛУПИ Д/ЖИРНОГО ВОЛОССЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;15;240,9
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ М`ЯТИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;125;1535
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;1483;18211,24
ДИТЯЧИЙ ШАМПУНЬ Д/Д_ВЧАТОК 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;178;2178,72
W2 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE;PALETTE;Краска;644;9151,24
SPORT СУПЕРЗАХИСТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;6;47,76
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;246;2659,26
N6 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;432;6138,72
820 ХОЛОДНИЙ ТЕМНО-РУСЯВИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;21;581,07
780 ЧЕРВОНЕ ВИНО 3305909000,;PALETTE;Фитолиния;Краска;11;125,07
